Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev	Num
93=	Anish Welde		Pennsylvania A	79	79	80	82	80	80	78	79	81	718	79.78	1.13	9
93=	Hamza Tariq Chaudhry	ESL	LSE B	79	78	78	82	82	77	79	82	81	718	79.78	1.87	9
100=	Callum McCrow		Melbourne B	79	80	77	80	83	80	79	81	78	717	79.67	1.63	9
100=	Noah Pinno		Hart House A	79	81	76	78	82	83	78	78	82	717	79.67	2.26	9
100=	Jenny Jiao		Duke A	77	81	81	80	78	80	78	82	80	717	79.67	1.56	9
100=	Mawuli Segbefia	ESL	Kwame Nkrumah B	76	78	77	81	80	83	78	83	81	717	79.67	2.40	9
104=	Bella Rollinson		Auckland B	79	73	79	79	81	81	81	83	80	716	79.56	2.63	9
104=	Sayantan Bhattacharyya	ESL	Symbiosis A	80	76	81	79	83	79	77	83	78	716	79.56	2.31	9
104=	Danielle Mitalipov		Stanford A	79	78	79	81	78	78	81	79	83	716	79.56	1.64	9
104=	Bec Kriesler		ANU A	77	79	82	77	82	80	80	83	76	716	79.56	2.36	9
104=	Srijon Sheikh		Stanford D	78	82	81	83	80	78	76	79	79	716	79.56	2.06	9
104=	Kiran Suryanarayana	ESL	Christ A	76	84	80	79	77	78	76	82	84	716	79.56	2.99	9
